,type,podcaster,title,pub_date,abstract,url
28,liberal,Pod Save America,On the Ground in Iowa: The Race for Second Place,"Jan 12, 2024","Less than two weeks before the caucuses, Tommy heads to Iowa to spend a few days going to campaign events, talking with voters, and taking the pulse of the race for second place. He attends two Ron DeSantis events—and learns the Florida governor is as boring as everyone says—interviews Vivek Ramaswamy on his campaign bus, and sneaks into a Nikki Haley event. With just a few days of campaigning to go, do any of these candidates have the momentum to beat expectations in Iowa and defeat Donald Trump?

For a closed-captioned version of this episode, click here. For a transcript of this episode, please email transcripts@crooked.com and include the name of the podcast.",https://pdst.fm/e/chrt.fm/track/479722/arttrk.com/p/CRMDA/claritaspod.com/measure/pscrb.fm/rss/p/stitcher.simplecastaudio.com/9aa1e238-cbed-4305-9808-c9228fc6dd4f/episodes/762fe47d-968b-4226-8bb2-d9893f058c9d/audio/128/default.mp3?aid=rss_feed&awCollectionId=9aa1e238-cbed-4305-9808-c9228fc6dd4f&awEpisodeId=762fe47d-968b-4226-8bb2-d9893f058c9d&feed=dxZsm5kX
29,liberal,Pod Save America,On the Ground in Iowa: The Inevitability Problem,"Jan 10, 2024","Tommy takes a look at the 2024 Iowa Caucuses and their impact on the 2024 presidential race, asking the all-important question — does this even matter anymore? With Trump leading every poll, it can feel like the first-in-the-nation vote is nothing more than a battle for second place. But the Des Moines Register’s Brianne Pfannenstiel, Iowa State University pollster Dave Peterson, and GOP insider David Kochel make the case for how Iowa could still shape the Republican primary.

For a closed-captioned version of this episode, click here. For a transcript of this episode, please email transcripts@crooked.com and include the name of the podcast.",https://pdst.fm/e/chrt.fm/track/479722/arttrk.com/p/CRMDA/claritaspod.com/measure/pscrb.fm/rss/p/stitcher.simplecastaudio.com/9aa1e238-cbed-4305-9808-c9228fc6dd4f/episodes/e3f8db5e-4ee7-4ad8-a23f-2ebea9c48a76/audio/128/default.mp3?aid=rss_feed&awCollectionId=9aa1e238-cbed-4305-9808-c9228fc6dd4f&awEpisodeId=e3f8db5e-4ee7-4ad8-a23f-2ebea9c48a76&feed=dxZsm5kX
30,liberal,Pod Save America,Biden vs. Trump on January 6th,"Jan 9, 2024","Biden frames the 2024 presidential race as a fight for democracy while Trump and his allies call the insurrectionists “hostages.” Then, Defense Secretary Lloyd Austin is hospitalized without informing the White House, conservatives continue to wage war on the Ivy League, and New York Times congressional correspondent Annie Karni joins to talk about a deal to avoid a potential shutdown and the GOP effort to impeach Biden’s Homeland Security Secretary.

For a closed-captioned version of this episode, click here. For a transcript of this episode, please email transcripts@crooked.com and include the name of the podcast.",https://pdst.fm/e/chrt.fm/track/479722/arttrk.com/p/CRMDA/claritaspod.com/measure/pscrb.fm/rss/p/stitcher.simplecastaudio.com/9aa1e238-cbed-4305-9808-c9228fc6dd4f/episodes/b0b55979-877c-4045-838d-2c8e7965e5e2/audio/128/default.mp3?aid=rss_feed&awCollectionId=9aa1e238-cbed-4305-9808-c9228fc6dd4f&awEpisodeId=b0b55979-877c-4045-838d-2c8e7965e5e2&feed=dxZsm5kX
31,liberal,Pod Save America,Iowa Caucus Countdown with Steve Kornacki,"Jan 4, 2024","Tommy joins Dan from the campaign trail in Iowa to discuss the latest in the GOP primary, Trump's 14th Amendment ballot woes in Maine and Colorado, and Joe Biden's reelection strategy. Then, Dan and NBC News and MSNBC National Political Correspondent Steve Kornacki dig into polling and voter data ahead of the Iowa caucus and New Hampshire primary and look at what the numbers might mean for the 2024 Presidential election.

For a closed-captioned version of this episode, click here. For a transcript of this episode, please email transcripts@crooked.com and include the name of the podcast.",https://pdst.fm/e/chrt.fm/track/479722/arttrk.com/p/CRMDA/claritaspod.com/measure/pscrb.fm/rss/p/stitcher.simplecastaudio.com/9aa1e238-cbed-4305-9808-c9228fc6dd4f/episodes/df91be86-1b6a-4ac0-84b7-5898805124dc/audio/128/default.mp3?aid=rss_feed&awCollectionId=9aa1e238-cbed-4305-9808-c9228fc6dd4f&awEpisodeId=df91be86-1b6a-4ac0-84b7-5898805124dc&feed=dxZsm5kX
32,liberal,Pod Save America,Pollercoaster with Dan Pfeiffer - Preview | Trump leading Biden?,"Dec 28, 2023","Here’s a holiday sneak peek of Crooked's new exclusive series for Friends of the Pod, POLLERCOASTER. In this preview, host Dan Pfeiffer and guest Cornell Belcher (Brilliant Corners Research & Strategies and former pollster for Obama) analyze the latest polls, unpack what it means for Trump to be leading Biden, and explore where former incumbent Presidents Obama, Clinton, and others were at this point in their presidencies. New episodes of Pollercoaster drop every other week, so if you want to hear the rest of the episode (or future ones), be sure to sign up for Friends of the Pod at crooked.com/friends.",https://pdst.fm/e/chrt.fm/track/479722/arttrk.com/p/CRMDA/claritaspod.com/measure/pscrb.fm/rss/p/stitcher.simplecastaudio.com/9aa1e238-cbed-4305-9808-c9228fc6dd4f/episodes/caa31d93-724a-4f33-ac9f-b55f4949c724/audio/128/default.mp3?aid=rss_feed&awCollectionId=9aa1e238-cbed-4305-9808-c9228fc6dd4f&awEpisodeId=caa31d93-724a-4f33-ac9f-b55f4949c724&feed=dxZsm5kX
33,liberal,Pod Save America,Intentions for 2024 with Sam Sanders (Exclusive Clip),"Dec 26, 2023","We're taking a much needed break to gear up for 2024, but we're excited to share an exclusive clip from Friend Of The Pod Sam Sanders' weekly podcast Vibe Check. Each week on Vibe Check, Sam, Saeed Jones, and Zach Stafford make sense of what’s going on in news and culture – and how it all feels.

For a closed-captioned version of this episode, click here. For a transcript of this episode, please email transcripts@crooked.com and include the name of the podcast.",https://pdst.fm/e/chrt.fm/track/479722/arttrk.com/p/CRMDA/claritaspod.com/measure/pscrb.fm/rss/p/stitcher.simplecastaudio.com/9aa1e238-cbed-4305-9808-c9228fc6dd4f/episodes/66c7b8f0-5623-4f4f-ade2-27895757107d/audio/128/default.mp3?aid=rss_feed&awCollectionId=9aa1e238-cbed-4305-9808-c9228fc6dd4f&awEpisodeId=66c7b8f0-5623-4f4f-ade2-27895757107d&feed=dxZsm5kX
34,liberal,Pod Save America,PSA Presents: The 2023 Pundies,"Dec 21, 2023","Welcome to the only award that really matters: The Pundies. Jon, Jon, Tommy, and Dan are joined by Halle Kiefer to decide the worst takes of 2023 (including their own). Then they react to their 2023 new year’s resolutions and make some new ones for 2024. Happy Holidays!

For a closed-captioned version of this episode, click here. For a transcript of this episode, please email transcripts@crooked.com and include the name of the podcast.",https://pdst.fm/e/chrt.fm/track/479722/arttrk.com/p/CRMDA/claritaspod.com/measure/pscrb.fm/rss/p/stitcher.simplecastaudio.com/9aa1e238-cbed-4305-9808-c9228fc6dd4f/episodes/df66c577-2260-4278-bd00-a2f8cba2440f/audio/128/default.mp3?aid=rss_feed&awCollectionId=9aa1e238-cbed-4305-9808-c9228fc6dd4f&awEpisodeId=df66c577-2260-4278-bd00-a2f8cba2440f&feed=dxZsm5kX
35,liberal,Pod Save America,2023 Holiday Mail Bag!,"Dec 19, 2023","Jon, Jon, Tommy, and Dan answer your burning questions about the 2024 election, the future of Democracy, the best album of the year, the Philadelphia ""Tush Push,” and much more!

For a closed-captioned version of this episode, click here. For a transcript of this episode, please email transcripts@crooked.com and include the name of the podcast.",https://pdst.fm/e/chrt.fm/track/479722/arttrk.com/p/CRMDA/claritaspod.com/measure/pscrb.fm/rss/p/stitcher.simplecastaudio.com/9aa1e238-cbed-4305-9808-c9228fc6dd4f/episodes/efadd877-910b-405c-b568-0e8cdabfdc71/audio/128/default.mp3?aid=rss_feed&awCollectionId=9aa1e238-cbed-4305-9808-c9228fc6dd4f&awEpisodeId=efadd877-910b-405c-b568-0e8cdabfdc71&feed=dxZsm5kX
36,liberal,Pod Save America,"No Evidence, No Problem: GOP Votes To Impeach (Live from San Jose!)","Dec 14, 2023","Guest host Addisu Demissie joins Lovett, Tommy, and Dan live in San Jose! Who needs details?! House Republicans unanimously vote to launch an impeachment inquiry into President Biden but have yet to state the official charges or prove any allegations, while Hunter Biden refuses to sit for a closed-door deposition demanded by the GOP. Then California's youngest assembly member, Alex Lee, talks about his battles against tax evasion and unaffordable housing. Plaformer's Zoë Schiffer joins to talk about Elon Musk letting Alex Jones back on Twitter, Silicon Valley giving up on content moderation, and whether the tech bubble is back. Finally we play a round of Silicon Valley trivia and take questions from the audience.

For a closed-captioned version of this episode, click here. For a transcript of this episode, please email transcripts@crooked.com and include the name of the podcast.",https://pdst.fm/e/chrt.fm/track/479722/arttrk.com/p/CRMDA/claritaspod.com/measure/pscrb.fm/rss/p/stitcher.simplecastaudio.com/9aa1e238-cbed-4305-9808-c9228fc6dd4f/episodes/08cde423-dc09-4a98-8c3e-ecf0067afd52/audio/128/default.mp3?aid=rss_feed&awCollectionId=9aa1e238-cbed-4305-9808-c9228fc6dd4f&awEpisodeId=08cde423-dc09-4a98-8c3e-ecf0067afd52&feed=dxZsm5kX
37,liberal,Pod Save America,Can Trump Be Stopped in Iowa?,"Dec 12, 2023","With five weeks to go before the Iowa caucus, Donald Trump takes a historic lead in the latest Des Moines Register poll while Ron DeSantis half-heartedly criticizes him on Twitter. Congress tries and fails to reach an agreement on aid for Ukraine and border security. The president of the University of Pennsylvania resigns after disastrous Congressional testimony on campus antisemitism. A woman flees Texas after the state's abortion ban puts her life in jeopardy. And finally, United Auto Workers union president Shawn Fain sits down with Tommy to discuss the UAW's historic wins and what comes next.

For a closed-captioned version of this episode, click here. For a transcript of this episode, please email transcripts@crooked.com and include the name of the podcast.",https://pdst.fm/e/chrt.fm/track/479722/arttrk.com/p/CRMDA/claritaspod.com/measure/pscrb.fm/rss/p/stitcher.simplecastaudio.com/9aa1e238-cbed-4305-9808-c9228fc6dd4f/episodes/13bf12ea-2740-4bbc-aa48-961f18de8f5f/audio/128/default.mp3?aid=rss_feed&awCollectionId=9aa1e238-cbed-4305-9808-c9228fc6dd4f&awEpisodeId=13bf12ea-2740-4bbc-aa48-961f18de8f5f&feed=dxZsm5kX
38,liberal,Pod Save America,Chris Christie's Last Stand (Live from San Diego!),"Dec 8, 2023","And then there were four. The gloves are off at the fourth GOP debate in Tuscaloosa, Alabama. Chris Christie, current last place candidate (and future Pod Save America co-host) is the only one throwing punches at Donald Trump, while Ron DeSantis and Vivek Ramaswamy set their sights on Nikki Haley. Meanwhile, Trump is planning to use his presidential powers to punish his political enemies and Joe Biden suggests another candidate could also beat Trump. Later, Mayor Todd Gloria joins to talk about his administration’s approach to housing affordability and public safety. And finally, we play Gays vs. Straights: holiday edition.

For a closed-captioned version of this episode, click here. For a transcript of this episode, please email transcripts@crooked.com and include the name of the podcast.",https://pdst.fm/e/chrt.fm/track/479722/arttrk.com/p/CRMDA/claritaspod.com/measure/pscrb.fm/rss/p/stitcher.simplecastaudio.com/9aa1e238-cbed-4305-9808-c9228fc6dd4f/episodes/ace1f0f1-9941-4551-9a48-ec61f29f34f0/audio/128/default.mp3?aid=rss_feed&awCollectionId=9aa1e238-cbed-4305-9808-c9228fc6dd4f&awEpisodeId=ace1f0f1-9941-4551-9a48-ec61f29f34f0&feed=dxZsm5kX
39,liberal,Pod Save America,Is a Trump Dictatorship Inevitable?,"Dec 5, 2023","Donald Trump deflects from his authoritarian impulses by accusing Joe Biden of undermining democracy, while warnings about a second Trump term grow more dire. George Santos gets the boot from Congress while Mike Johnson finds himself in a very similar position to his predecessor Kevin McCarthy. And finally, Strict Scrutiny’s Melissa Murray joins the show to talk about Trump’s flurry of bad legal news.

For a closed-captioned version of this episode, click here. For a transcript of this episode, please email transcripts@crooked.com and include the name of the podcast.",https://pdst.fm/e/chrt.fm/track/479722/arttrk.com/p/CRMDA/claritaspod.com/measure/pscrb.fm/rss/p/stitcher.simplecastaudio.com/9aa1e238-cbed-4305-9808-c9228fc6dd4f/episodes/8dd4eb60-6f51-46ea-8d85-a61be5b26f1f/audio/128/default.mp3?aid=rss_feed&awCollectionId=9aa1e238-cbed-4305-9808-c9228fc6dd4f&awEpisodeId=8dd4eb60-6f51-46ea-8d85-a61be5b26f1f&feed=dxZsm5kX
40,liberal,Pod Save America,Why This Democrat Thinks He Can Beat Joe Biden,"Nov 30, 2023","Trump's lawyers preview a new defense strategy, Nikki Haley lands a big new endorsement, and President Biden fights back on the economy—and hits Lauren Boebert in her own district. Then, Minnesota Rep. Dean Phillips visits the studio for a heated conversation about why he's running against Biden in the Democratic primary, what Democrats should be doing differently, what it would take for him to get out of the race, and of course, the difference between ice cream and gelato. NOTE: the interview with Congressman Phillips has been edited for length and clarity. You can watch the full interview at https://www.youtube.com/@podsaveamerica.

For a closed-captioned version of this episode, click here. For a transcript of this episode, please email transcripts@crooked.com and include the name of the podcast.",https://pdst.fm/e/chrt.fm/track/479722/arttrk.com/p/CRMDA/claritaspod.com/measure/pscrb.fm/rss/p/stitcher.simplecastaudio.com/9aa1e238-cbed-4305-9808-c9228fc6dd4f/episodes/b136fdfb-b39b-43eb-bfe7-abca66ff7284/audio/128/default.mp3?aid=rss_feed&awCollectionId=9aa1e238-cbed-4305-9808-c9228fc6dd4f&awEpisodeId=b136fdfb-b39b-43eb-bfe7-abca66ff7284&feed=dxZsm5kX
41,liberal,Pod Save America,"Biden Secures Temporary Ceasefire, Trump Threatens Obamacare","Nov 28, 2023","As Biden successfully secures a temporary ceasefire in Gaza, Congress attempts to pass an aid package for Israel, Ukraine and Taiwan. But Republicans say they won’t pass anything unless Democrats agree to new demands related to US-Mexico border security. Meanwhile, Nikki Haley and Ron DeSantis are spending super PAC money going after each other in Iowa and New Hampshire. While their biggest competition, Donald Trump, says he is once again set on repealing Obamacare. And finally, George Santos rips into his congressional colleagues ahead of his possible expulsion from the chamber.

For a closed-captioned version of this episode, click here. For a transcript of this episode, please email transcripts@crooked.com and include the name of the podcast.",https://pdst.fm/e/chrt.fm/track/479722/arttrk.com/p/CRMDA/claritaspod.com/measure/pscrb.fm/rss/p/stitcher.simplecastaudio.com/9aa1e238-cbed-4305-9808-c9228fc6dd4f/episodes/2a93654d-f6b2-4cf4-bd27-f3a1f360a969/audio/128/default.mp3?aid=rss_feed&awCollectionId=9aa1e238-cbed-4305-9808-c9228fc6dd4f&awEpisodeId=2a93654d-f6b2-4cf4-bd27-f3a1f360a969&feed=dxZsm5kX
42,liberal,Pod Save America,Inside 2024 - Preview | Favreau + Tommy Talk Election Night,"Nov 23, 2023","Happy holidays from the Pod Save America team! Here’s a special sneak peek of our new subscriber exclusive series Inside 2024. In this preview Jon Favreau and Tommy Vietor take you behind the scenes of election nights like Barack Obama’s 2008 winning campaign. It’s a show we’re really proud of and we hope you enjoy. Producer Caroline Reston moderates. If you want to hear the rest of the episode, or future ones, be sure to sign up for Friends of the Pod at crooked.com/friends.",https://pdst.fm/e/chrt.fm/track/479722/arttrk.com/p/CRMDA/claritaspod.com/measure/pscrb.fm/rss/p/stitcher.simplecastaudio.com/9aa1e238-cbed-4305-9808-c9228fc6dd4f/episodes/38b4e65e-c1c1-4717-b681-c6de62894a5b/audio/128/default.mp3?aid=rss_feed&awCollectionId=9aa1e238-cbed-4305-9808-c9228fc6dd4f&awEpisodeId=38b4e65e-c1c1-4717-b681-c6de62894a5b&feed=dxZsm5kX
43,liberal,Pod Save America,More Democrats Call for a Ceasefire,"Nov 21, 2023","The President says a deal is close that would free hostages in Gaza, while more Democrats in Congress call for a ceasefire or conditions on military aid to Israel. Meanwhile, Biden celebrates his 81st birthday with more bad polling and anxious Democrats. Trump continues his run of bonkers campaign stops in Iowa and Fox News kicks off the holiday season with a meltdown over “woke” Christmas. Then, ProPublica and NPR reporter Andrea Bernstein joins the show to talk about the newly announced Supreme Court ethics code and her podcast about right-wing judicial activist Leonard Leo, “We Don’t Talk About Leonard”. Finally, we kick off a new Thanksgiving tradition and pardon our favorite political turkeys of 2023.

For a closed-captioned version of this episode, click here. For a transcript of this episode, please email transcripts@crooked.com and include the name of the podcast.",https://pdst.fm/e/chrt.fm/track/479722/arttrk.com/p/CRMDA/claritaspod.com/measure/pscrb.fm/rss/p/stitcher.simplecastaudio.com/9aa1e238-cbed-4305-9808-c9228fc6dd4f/episodes/36958215-af95-47ca-8ecc-898e38ccfe5c/audio/128/default.mp3?aid=rss_feed&awCollectionId=9aa1e238-cbed-4305-9808-c9228fc6dd4f&awEpisodeId=36958215-af95-47ca-8ecc-898e38ccfe5c&feed=dxZsm5kX
44,liberal,Pod Save America,First Rule of Republican Fight Club,"Nov 16, 2023","It's apparently Fight Club week on Capitol Hill. GOP Representatives are bidding farewell to decorum and possibly their own sanity as multiple almost-fights break out in Congress. Meanwhile, MAGA Mike Johnson gets his government funding bill passed in both the House and the Senate without any major cuts to spending or fulfilling any of his far-right fantasies. George Santos is no longer running for reelection as a House Ethics Committee investigation finds he spent campaign funds on Botox, Sephora runs and… Only Fans. Plus, Biden is getting advice from progressives about how to campaign on the economy and the New York Times says Trump may be more resilient than other Republicans when it comes to messaging on abortion. Finally, John Della Volpe, pollster and author of ""Fight: How Gen Z is Channeling Their Fear and Passion to Save America,"" joins to talk about the President's struggle with younger voters.

For a closed-captioned version of this episode, click here. For a transcript of…",https://pdst.fm/e/chrt.fm/track/479722/arttrk.com/p/CRMDA/claritaspod.com/measure/pscrb.fm/rss/p/stitcher.simplecastaudio.com/9aa1e238-cbed-4305-9808-c9228fc6dd4f/episodes/ba165adc-e1e0-43a8-a488-24904fd45e51/audio/128/default.mp3?aid=rss_feed&awCollectionId=9aa1e238-cbed-4305-9808-c9228fc6dd4f&awEpisodeId=ba165adc-e1e0-43a8-a488-24904fd45e51&feed=dxZsm5kX
45,liberal,Pod Save America,"Trump Vows to Root Out ""Vermin""","Nov 14, 2023","In an unhinged Veterans Day speech, Trump promises to remove the ""vermin"" who dare to oppose his agenda, while his top advisor outlines a terrifying second-term immigration plan: mass deportations, camps for undocumented immigrants, and enforcement raids by the National Guard. Meanwhile, Democrats are giving Joe Biden a lot of advice he doesn't need, and Tim Scott drops out of the Republican primary. Will it matter?",https://pdst.fm/e/chrt.fm/track/479722/arttrk.com/p/CRMDA/claritaspod.com/measure/pscrb.fm/rss/p/stitcher.simplecastaudio.com/9aa1e238-cbed-4305-9808-c9228fc6dd4f/episodes/a5b82950-17a6-4276-9323-96a07dd2fe4f/audio/128/default.mp3?aid=rss_feed&awCollectionId=9aa1e238-cbed-4305-9808-c9228fc6dd4f&awEpisodeId=a5b82950-17a6-4276-9323-96a07dd2fe4f&feed=dxZsm5kX
46,liberal,Pod Save America,BONUS: Could Trump Still Lose the Nomination? (Live from New Orleans!),"Nov 13, 2023","Guest host Tim Miller joins Jon, Jon, Tommy, and Dan live from New Orleans! A fired-up President Biden campaigns in Illinois, but Jill Stein enters the Presidential race and Joe Manchin announces that he won't seek re-election, making it harder for Democrats to keep the Senate—and possibly the White House—in 2024. State Rep. Mandie Landry and Public Service Commissioner Davante Lewis join the show to talk Louisiana politics. The hosts debate whether Donald Trump really has the GOP nomination on lock. Then, in the home state of porn-monitoring Speaker Mike Johnson, Lovett debuts a new game: Covenant Eyes Are Watching You.

Recorded at The Joy Theater in New Orleans by permission of MVNLA Owner, LLC.",https://pdst.fm/e/chrt.fm/track/479722/arttrk.com/p/CRMDA/claritaspod.com/measure/pscrb.fm/rss/p/stitcher.simplecastaudio.com/9aa1e238-cbed-4305-9808-c9228fc6dd4f/episodes/d721e960-e7d3-4505-b586-a60a1ef52b13/audio/128/default.mp3?aid=rss_feed&awCollectionId=9aa1e238-cbed-4305-9808-c9228fc6dd4f&awEpisodeId=d721e960-e7d3-4505-b586-a60a1ef52b13&feed=dxZsm5kX
47,liberal,Pod Save America,"Major Win for Democrats, Minor Debate for Republicans","Nov 9, 2023","Democrats pull out critical wins for abortion rights in Ohio and Andy Beshear in Kentucky, and deal a big blow to Glenn Youngkin in Virginia. Jon, Dan, and Tommy discuss how Democrats did it, and what it all could mean for Joe Biden next fall. Then, did somebody say ""ship gap""?? The third Republican debate goes in some very odd directions—while the front-runner shows off his own brand of crazy at a Florida rally.

For a closed-captioned version of this episode, click here. For a transcript of this episode, please email transcripts@crooked.com and include the name of the podcast.",https://pdst.fm/e/chrt.fm/track/479722/arttrk.com/p/CRMDA/claritaspod.com/measure/pscrb.fm/rss/p/stitcher.simplecastaudio.com/9aa1e238-cbed-4305-9808-c9228fc6dd4f/episodes/7aa2a3d9-8ead-48e3-80a2-1954ce59a98f/audio/128/default.mp3?aid=rss_feed&awCollectionId=9aa1e238-cbed-4305-9808-c9228fc6dd4f&awEpisodeId=7aa2a3d9-8ead-48e3-80a2-1954ce59a98f&feed=dxZsm5kX
48,liberal,Pod Save America,"Barack Obama on Democracy, Gaza and 2024","Nov 7, 2023","It’s Election Day, with big implications for abortion, democracy, and much more in Ohio, Virginia, Kentucky, and Mississippi. It's also one year out from the 2024 presidential election, and a new set of battleground polls in the New York Times shows Donald Trump ahead of Joe Biden just about everywhere. Meanwhile, Trump takes the stand in his civil fraud case while his advisors draw up plans to use the military against protesters if he wins the election. Then, Barack Obama sits down with Jon, Tommy, Dan and Alyssa Mastromonaco for an expansive conversation on democracy, violence in the middle east, and his memories of winning the presidency fifteen years ago.

For a closed-captioned version of this episode, click here. For a transcript of this episode, please email transcripts@crooked.com and include the name of the podcast.",https://pdst.fm/e/chrt.fm/track/479722/arttrk.com/p/CRMDA/claritaspod.com/measure/pscrb.fm/rss/p/stitcher.simplecastaudio.com/9aa1e238-cbed-4305-9808-c9228fc6dd4f/episodes/f330b507-e4a5-4a0c-ad56-561055649eee/audio/128/default.mp3?aid=rss_feed&awCollectionId=9aa1e238-cbed-4305-9808-c9228fc6dd4f&awEpisodeId=f330b507-e4a5-4a0c-ad56-561055649eee&feed=dxZsm5kX
49,liberal,Pod Save America,Is Trump Losing a Step?,"Nov 2, 2023","Donald Trump's dominance in the early states finally has his Republican rivals and the press pointing out that he's no spring chicken. Meanwhile, MAGA Mike Johnson is embracing his nickname during his first week as Speaker. Plus, George Santos lives to lie another day and RFK Jr. is taking more support from Trump in two new polls.

For a closed-captioned version of this episode, click here. For a transcript of this episode, please email transcripts@crooked.com and include the name of the podcast.",https://pdst.fm/e/chrt.fm/track/479722/arttrk.com/p/CRMDA/claritaspod.com/measure/pscrb.fm/rss/p/stitcher.simplecastaudio.com/9aa1e238-cbed-4305-9808-c9228fc6dd4f/episodes/419fac0b-943b-474c-b431-cf1dd65029b7/audio/128/default.mp3?aid=rss_feed&awCollectionId=9aa1e238-cbed-4305-9808-c9228fc6dd4f&awEpisodeId=419fac0b-943b-474c-b431-cf1dd65029b7&feed=dxZsm5kX
50,liberal,Pod Save America,Ohio's Big Choice (Live from Cleveland!),"Oct 31, 2023","Guest host Alyssa Mastromonaco joins Jon, Jon, Tommy, and Dan live from Cleveland, Ohio. As Israel launches its ground invasion, the war in Gaza continues to shake up U.S. politics. Donald Trump promises to expand his Muslim ban and deport pro-Palestinian protestors, while Joe Biden tries to navigate the views of an increasingly divided Democratic Party. With a little over two months left until the Iowa caucuses, the Republican primary field starts to shrink even if Trump’s lead is growing. Then, Congresswoman Emilia Sykes and Pro-Choice Ohio’s Kellie Copeland join to break down the current state of Ohio politics ahead of next week’s big election that will decide the fate of abortion access in the state.

For a closed-captioned version of this episode, click here. For a transcript of this episode, please email transcripts@crooked.com and include the name of the podcast.",https://pdst.fm/e/chrt.fm/track/479722/arttrk.com/p/CRMDA/claritaspod.com/measure/pscrb.fm/rss/p/stitcher.simplecastaudio.com/9aa1e238-cbed-4305-9808-c9228fc6dd4f/episodes/3be81cfd-d3e0-4a9f-a890-2fd465fe375b/audio/128/default.mp3?aid=rss_feed&awCollectionId=9aa1e238-cbed-4305-9808-c9228fc6dd4f&awEpisodeId=3be81cfd-d3e0-4a9f-a890-2fd465fe375b&feed=dxZsm5kX
51,liberal,Pod Save America,BONUS: Bourbon & Biden (Live from Louisville!),"Oct 30, 2023","Congressman Morgan McGarvey, State Senator Karen Berg, and special guest Perry Bacon Jr. join Jon, Jon, Tommy, and Dan live from Louisville! New Speaker of the House (and possible but unproven short king) Mike Johnson's MAGA bona fides are tested in an interview with Sean Hannity. Kentucky prepares for the November 7th gubernatorial race between Democrat incumbent Andy Beshear and Mitch McConnell mentee, Daniel Cameron. And, Joe Biden gets a primary challenger: Congressman Dean Phillips of Minnesota. Plus, Rep. McGarvey serves up tough questions and samples of the state's bourbon offerings in a segment called ""I'll Drink the Fifth.""

For a closed-captioned version of this episode, click here. For a transcript of this episode, please email transcripts@crooked.com and include the name of the podcast.",https://pdst.fm/e/chrt.fm/track/479722/arttrk.com/p/CRMDA/claritaspod.com/measure/pscrb.fm/rss/p/stitcher.simplecastaudio.com/9aa1e238-cbed-4305-9808-c9228fc6dd4f/episodes/999044e6-0576-45b0-821e-6cf392dbdf9c/audio/128/default.mp3?aid=rss_feed&awCollectionId=9aa1e238-cbed-4305-9808-c9228fc6dd4f&awEpisodeId=999044e6-0576-45b0-821e-6cf392dbdf9c&feed=dxZsm5kX
52,liberal,Pod Save America,What’s a Mike Johnson?,"Oct 26, 2023","And the winner of the House Speaker showdown is ... Congressman Mike Johnson! You probably haven't heard of him, but his resume will sound familiar: election denial, a thirst to end Medicare and Social Security as we know them, a fondness for national abortion bans, and a desire to criminalize gay marriage, among many more MAGA favorites. Former Mueller prosecutor Andrew Weissmann joins the show to break down Donald Trump's week of bad legal news. And then: President Biden is about to face a new primary opponent. Should he be worried?

For a closed-captioned version of this episode, click here. For a transcript of this episode, please email transcripts@crooked.com and include the name of the podcast.",https://pdst.fm/e/chrt.fm/track/479722/arttrk.com/p/CRMDA/claritaspod.com/measure/pscrb.fm/rss/p/stitcher.simplecastaudio.com/9aa1e238-cbed-4305-9808-c9228fc6dd4f/episodes/1deea763-ddcb-45fd-b924-47d3715a6d72/audio/128/default.mp3?aid=rss_feed&awCollectionId=9aa1e238-cbed-4305-9808-c9228fc6dd4f&awEpisodeId=1deea763-ddcb-45fd-b924-47d3715a6d72&feed=dxZsm5kX
53,liberal,Pod Save America,"Rachel Maddow Talks Trump, Biden, and the Speaker-less House","Oct 24, 2023","Special guest Rachel Maddow joins the show to talk about the latest in the Speaker-less House, Trump's legal troubles, and President Biden's message strategy. Then, Maddow discusses her new book, ""Prequel: An American Fight Against Fascism,"" which recounts a long-forgotten chapter of U.S. history that's eerily relevant today.

For a closed-captioned version of this episode, click here. For a transcript of this episode, please email transcripts@crooked.com and include the name of the podcast.",https://pdst.fm/e/chrt.fm/track/479722/arttrk.com/p/CRMDA/claritaspod.com/measure/pscrb.fm/rss/p/stitcher.simplecastaudio.com/9aa1e238-cbed-4305-9808-c9228fc6dd4f/episodes/998cf879-6fae-45c4-98de-4e057aafba29/audio/128/default.mp3?aid=rss_feed&awCollectionId=9aa1e238-cbed-4305-9808-c9228fc6dd4f&awEpisodeId=998cf879-6fae-45c4-98de-4e057aafba29&feed=dxZsm5kX
